"genename","uniprot","mean_patient","mean_ctrl","mito","complex"
"TCEAL3","Q969E4",14648.7447933333,35115.964454,"nonmito",""
"TCEAL4","Q96EI5;Q96EI5-2",15609.46745,24038.864844,"nonmito",""
"TCERG1","O14776;O14776-2",53295.9218733333,39784.94844,"nonmito",""
"TCF25","Q9BQ70",9850.41211033333,14069.155276,"nonmito",""
"TCIRG1","Q13488",40738.73698,97354.849996,"nonmito",""
"TCOF1","Q13428;Q13428-3;Q13428-4",23195.1497366667,26220.572656,"nonmito",""
"TCP1","P17987",276335.197933333,291052.14378,"nonmito",""
"TCP11L1","Q9NUJ3",23321.70573,30068.996876,"nonmito",""
"TDP1","Q9NUW8",18064.9840466667,16372.42754,"nonmito",""
"TDP2","O95551;O95551-2",9642.98665266667,10721.9597656,"nonmito",""
"TDRD3","Q9H7E2;Q9H7E2-3",164680.919296667,100528.010168,"nonmito",""
"TDRD7","Q8NHU6;Q8NHU6-2",8875.99088533333,10704.1771506,"nonmito",""
"TEAD1","P28347",35557.96224,27140.661328,"nonmito",""
"TECR","Q9NZ01",99306.1744666667,155053.97502,"nonmito",""
"TELO2","Q9Y4R8",13065.0804066667,13442.346482,"nonmito",""
"TEP1","Q99973;Q99973-2",13714.6858733333,12361.0460928,"nonmito",""
"TERF2","Q15554",19059.6972666667,15789.336328,"nonmito",""
"TERF2IP","Q9NYB0",17568.86914,19201.425196,"nonmito",""
"TES","Q9UGI8;Q9UGI8-2",75000.1849,56446.089258,"nonmito",""
"TEX10","Q9NXF1;Q9NXF1-2",35199.2369766667,27686.984766,"nonmito",""
"TEX2","Q8IWB9;Q8IWB9-2",60936.5494766667,105342.500018,"nonmito",""
"TEX264","Q9Y6I9",30427.4941366667,44275.462502,"nonmito",""
"TFAM","Q00059",36731.4700533333,36714.69453,"mito",""
"TFCP2","Q12800;Q12800-2;Q12800-3;Q12800-4",34958.6197933333,27420.017186,"nonmito",""
"TFE3","P19532",15829.3170566667,15288.804883,"nonmito",""
"TFG","Q92734;Q92734-2;Q92734-3;Q92734-4",224844.651033333,194248.74064,"nonmito",""
"TFIP11","Q9UBB9",94791.2213733333,77462.432034,"nonmito",""
