"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"NENF","Q9UMX5",359068.666666667,353759.666666667,"Q9UMX5","nonmito",""
"NES","P48681",147218.666666667,92027.7,"P48681","nonmito",""
"NEURL4","Q96JN8;Q96JN8-2",279542,113353,"Q96JN8","nonmito",""
"NEXN","Q0ZGT2;Q0ZGT2-2;Q0ZGT2-4",30419.9666666667,32940.6666666667,"Q0ZGT2","nonmito",""
"NF1","P21359;P21359-2;P21359-6",65583.6666666667,71137.9333333333,"P21359","nonmito",""
"NF2","P35240;P35240-2;P35240-3;P35240-8",124388,131875,"P35240","nonmito",""
"NFATC2IP","Q8NCF5",148376.666666667,158409.333333333,"Q8NCF5","nonmito",""
"NFIA","Q12857-3",54090.4333333333,31614.2,"Q12857","nonmito",""
"NFKB1","P19838;P19838-2",78417.2,72856.3666666667,"P19838","nonmito",""
"NFKB2","Q00653",108071.6,58332.1333333333,"Q00653","nonmito",""
"NFKBIB","Q15653;Q15653-2",111324.233333333,143954,"Q15653","nonmito",""
"NFS1","Q9Y697;Q9Y697-2",102455.033333333,141013.333333333,"Q9Y697","mito",""
"NFU1","Q9UMS0;Q9UMS0-3",133938,338005.333333333,"Q9UMS0","mito",""
"NFX1","Q12986",70685.2666666667,79319.8333333333,"Q12986","nonmito",""
"NFXL1","Q6ZNB6",117043.433333333,70475.6,"Q6ZNB6","nonmito",""
"NFYA","P23511;P23511-2",102316.033333333,126348,"P23511","nonmito",""
"NFYC","Q13952;Q13952-2;Q13952-3;Q13952-5;Q13952-6;Q13952-7",289786,230979,"Q13952","nonmito",""
"NGDN","Q8NEJ9;Q8NEJ9-2",194587.666666667,185406,"Q8NEJ9","nonmito",""
"NGLY1","Q96IV0",143956.666666667,112894,"Q96IV0","nonmito",""
"NHEJ1","Q9H9Q4",215624.666666667,341604,"Q9H9Q4","nonmito",""
"NHLRC2","Q8NBF2",231544,220880.333333333,"Q8NBF2","nonmito",""
"NHP2","Q9NX24",287311,311874.333333333,"Q9NX24","nonmito",""
"NIBAN2","Q96TA1;Q96TA1-2",137353.666666667,124065,"Q96TA1","nonmito",""
"NIF3L1","Q9GZT8;Q9GZT8-2",226295.333333333,213745.333333333,"Q9GZT8","mito",""
"NIFK","Q9BYG3",281069.333333333,324648.666666667,"Q9BYG3","nonmito",""
"NIN","Q8N4C6-7",137002.333333333,196208,"Q8N4C6","nonmito",""
"NIP7","Q9Y221",309879.666666667,263707,"Q9Y221","nonmito",""
"NIPBL","Q6KC79",122576,97560.1666666667,"Q6KC79","nonmito",""
"NIPSNAP1","Q9BPW8",284113,227632,"Q9BPW8","mito",""
"NIPSNAP2","O75323",204750,219423.666666667,"O75323","mito",""
"NIPSNAP3A","Q9UFN0",259630.666666667,213388,"Q9UFN0","mito",""
"NISCH","Q9Y2I1",115029.666666667,118828.666666667,"Q9Y2I1","nonmito",""
"NIT1","Q86X76;Q86X76-2;Q86X76-4",292768.666666667,223605,"Q86X76","mito",""
"NIT2","Q9NQR4",211386,193988.666666667,"Q9NQR4","mito",""
"NKAP","Q8N5F7",137290.333333333,134639.666666667,"Q8N5F7","nonmito",""
"NKRF","O15226;O15226-2",199499.666666667,210946.333333333,"O15226","nonmito",""
"NKTR","P30414",37255.45,47571,"P30414","nonmito",""
"NKX2-5","P52952",52837.8666666667,64750.4,"P52952","nonmito",""
"NLE1","Q9NVX2",245206,249619.333333333,"Q9NVX2","nonmito",""
"NLN","Q9BYT8",158376.333333333,166269.333333333,"Q9BYT8","mito",""
"NLRX1","Q86UT6",81072.1,50080,"Q86UT6","mito",""
"NMD3","Q96D46",202003.333333333,244355.333333333,"Q96D46","nonmito",""
"NME2","P22392-2",893725,1269143.33333333,"Q6FHN3","nonmito",""
"NME3","Q13232",221512.333333333,185461.333333333,"Q13232","mito",""
"NME4","O00746",143147.666666667,189977.333333333,"O00746","mito",""
"NME6","O75414",97685.7,126498.333333333,"O75414","mito",""
"NME7","Q9Y5B8",120850.333333333,154642.666666667,"Q9Y5B8","nonmito",""
"NMNAT1","Q9HAN9",270643.666666667,187772.666666667,"Q9HAN9","nonmito",""
