"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"ELL","P55199",29813.1333333333,38673.5333333333,"P55199","nonmito",""
"ELMO2","Q96JJ3",127390.666666667,131569.333333333,"Q96JJ3","nonmito",""
"ELMOD2","Q8IZ81",144229.333333333,189316.333333333,"Q8IZ81","nonmito",""
"ELOA","Q14241",96212.7333333333,102794,"Q14241","nonmito",""
"ELOB","Q15370;Q15370-2",512541.666666667,558539.333333333,"Q15370","nonmito",""
"ELOC","Q15369",293698,304287.333333333,"Q15369","nonmito",""
"ELOVL1","Q9BW60",105444.333333333,72976.4,"Q9BW60","nonmito",""
"ELP1","O95163",164779.333333333,253505,"O95163","nonmito",""
"ELP2","Q6IA86;Q6IA86-2;Q6IA86-3;Q6IA86-5;Q6IA86-6",100920.366666667,144042.333333333,"Q6IA86","nonmito",""
"ELP3","Q9H9T3",255946,253297,"Q9H9T3","nonmito",""
"ELP4","Q96EB1",98690.5,87638,"Q96EB1","nonmito",""
"ELP6","Q0PNE2;Q0PNE2-2",134176.666666667,130789.666666667,"Q0PNE2","nonmito",""
"EMC1","Q8N766;Q8N766-2",214288,239204.666666667,"Q8N766","nonmito",""
"EMC10","Q5UCC4;Q5UCC4-2",217359.666666667,256430.666666667,"Q5UCC4","nonmito",""
"EMC2","Q15006",247106,253634.666666667,"Q15006","nonmito",""
"EMC3","Q9P0I2",196506.333333333,201751.666666667,"Q9P0I2","nonmito",""
"EMC4","Q5J8M3",425993.333333333,483170.333333333,"Q5J8M3","nonmito",""
"EMC7","Q9NPA0",191012.666666667,205714.666666667,"Q9NPA0","nonmito",""
"EMC8","O43402",173891,193835,"O43402","nonmito",""
