"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"CEP41","Q9BYV8",116744.666666667,112928.666666667,"Q9BYV8","nonmito",""
"CEP43","O95684;O95684-2",153449,188350.666666667,"O95684","nonmito",""
"CEP44","Q9C0F1;Q9C0F1-2",82301.1,76201.9,"Q9C0F1","nonmito",""
"CEP55","Q53EZ4",112802.333333333,91309.8333333333,"Q53EZ4","nonmito",""
"CEP57","Q86XR8;Q86XR8-2;Q86XR8-3;Q86XR8-4;Q86XR8-5",280988,339824,"Q86XR8","nonmito",""
"CEP78","Q5JTW2;Q5JTW2-2;Q5JTW2-3;Q5JTW2-5",78120.2333333333,78636.1,"Q5JTW2","nonmito",""
"CEP85","Q6P2H3;Q6P2H3-2",94765.3333333333,118531,"Q6P2H3","nonmito",""
"CEP97","Q8IW35;Q8IW35-2",80627.2666666667,91793.3,"Q8IW35","nonmito",""
"CERS1","P27544;P27544-2",72098.8,65617.1333333333,"P27544","nonmito",""
"CERS2","Q96G23",246029.333333333,217883,"Q96G23","nonmito",""
"CERS5","Q8N5B7",49715.2666666667,41865.7333333333,"Q8N5B7","nonmito",""
"CERT1","Q9Y5P4;Q9Y5P4-3",152831.333333333,142360.333333333,"Q9Y5P4","nonmito",""
"CETN2","P41208",189901.333333333,168115.333333333,"P41208","nonmito",""
"CETN3","O15182",58596.1,46207.8333333333,"O15182","nonmito",""
"CFAP20","Q9Y6A4",429719,369753.666666667,"Q9Y6A4","nonmito",""
"CFAP298","P57076",146317,146133.333333333,"P57076","nonmito",""
"CFAP36","Q96G28;Q96G28-2",127592,125931.666666667,"Q96G28","nonmito",""
"CFDP1","Q9UEE9",415989.666666667,372936.333333333,"Q9UEE9","nonmito",""
"CFL1","P23528",1429136.66666667,1251570,"P23528","nonmito",""
"CFL2","Q9Y281;Q9Y281-3",426678,413437,"Q9Y281","nonmito",""
"CGGBP1","Q9UFW8",212725.666666667,163545.666666667,"Q9UFW8","nonmito",""
"CGN","Q9P2M7",80214.5333333333,78182.7333333333,"Q9P2M7","nonmito",""
"CHAC2","Q8WUX2",158107,139803.333333333,"Q8WUX2","nonmito",""
"CHAF1A","Q13111",113135.666666667,134830.333333333,"Q13111","nonmito",""
"CHAF1B","Q13112",202694.333333333,182410,"Q13112","nonmito",""
"CHAMP1","Q96JM3",120003.666666667,142684,"Q96JM3","nonmito",""
"CHCHD2","Q9Y6H1",349618.666666667,179138.333333333,"Q9Y6H1","mito",""
"CHCHD3","Q9NX63",279934,250701,"Q9NX63","mito",""
"CHCHD4","Q8N4Q1;Q8N4Q1-2",272579,240536.666666667,"Q8N4Q1","mito",""
"CHCHD6","Q9BRQ6",64636.4333333333,60920.9666666667,"Q9BRQ6","mito",""
"CHD1","O14646;O14646-2",98442.4333333333,113186.333333333,"O14646","nonmito",""
"CHD1L","Q86WJ1",129850.666666667,125452.666666667,"Q86WJ1","nonmito",""
"CHD2","O14647;O14647-2",93087.3333333333,98287.0333333333,"O14647","nonmito",""
"CHD4","Q14839;Q14839-2",222206,254756.333333333,"Q14839","nonmito",""
"CHD7","Q9P2D1",109856,117833.333333333,"Q9P2D1","nonmito",""
"CHD8","Q9HCK8",119570.666666667,118772.666666667,"Q9HCK8","nonmito",""
"CHDH","Q8NE62",89405.3333333333,91012.5,"Q8NE62","mito",""
"CHEK1","O14757",117823.333333333,113972,"O14757","nonmito",""
"CHEK2","O96017;O96017-4;O96017-9",96781.9333333333,112320.333333333,"O96017","nonmito",""
"CHERP","Q8IWX8",193672,247472.666666667,"Q8IWX8","nonmito",""
"CHID1","Q9BWS9",181184.333333333,147089,"Q9BWS9","nonmito",""
"CHM","P24386",104236.6,107572.666666667,"P24386","nonmito",""
"CHML","P26374",50839.1333333333,57339.3666666667,"P26374","nonmito",""
"CHMP1A","Q9HD42",161525,159303.333333333,"Q9HD42","nonmito",""
"CHMP1B","Q7LBR1",317126,254979.333333333,"Q7LBR1","nonmito",""
"CHMP2A","O43633",320222.666666667,251430.333333333,"O43633","nonmito",""
"CHMP2B","Q9UQN3",205592.333333333,186405.666666667,"Q9UQN3","nonmito",""
"CHMP3","Q9Y3E7",264847,268117,"0","nonmito",""
"CHMP4A","Q9BY43;Q9BY43-2",191546.333333333,187088.333333333,"Q9BY43","nonmito",""
"CHMP4B","Q9H444",424898,373687.666666667,"Q9H444","nonmito",""
"CHMP5","Q9NZZ3;Q9NZZ3-2",717266,751617,"Q9NZZ3","nonmito",""
"CHMP6","Q96FZ7",114322.666666667,139558.666666667,"Q96FZ7","nonmito",""
"CHMP7","Q8WUX9",147795.666666667,138677.666666667,"Q8WUX9","nonmito",""
"CHORDC1","Q9UHD1",418118.666666667,435314.333333333,"Q9UHD1","nonmito",""
"CHP1","Q99653",162466,145190.333333333,"Q99653","nonmito",""
"CHPF","Q8IZ52",371283,537177.333333333,"Q8IZ52","nonmito",""
"CHRAC1","Q9NRG0",349356.333333333,373847.666666667,"Q9NRG0","nonmito",""
"CHST14","Q8NCH0",69506.9666666667,78320.5,"Q8NCH0","nonmito",""
"CHSY1","Q86X52",64826.8666666667,56336.4333333333,"Q86X52","nonmito",""
"CHTF18","Q8WVB6;Q8WVB6-2",106608,112794.333333333,"Q8WVB6","nonmito",""
"CHTF8","P0CG13",48091.9666666667,57386.1333333333,"P0CG12","nonmito",""
"CHTOP","Q9Y3Y2;Q9Y3Y2-3;Q9Y3Y2-4",249460.666666667,245224,"Q9Y3Y2","nonmito",""
"CHUK","O15111",114763,88495.5,"O15111","nonmito",""
"CHURC1","Q8WUH1",405050,304922.333333333,"Q8WUH1","nonmito",""
"CIAO1","O76071",278142.333333333,263363.333333333,"O76071","nonmito",""
"CIAO2B","Q9Y3D0",183395.333333333,169550.333333333,"Q9Y3D0","nonmito",""
"CIAO3","Q9H6Q4",63900.5333333333,87813.7666666667,"Q9H6Q4","nonmito",""
"CIAPIN1","Q6FI81",255321.333333333,267923.333333333,"Q6FI81","nonmito",""
"CIP2A","Q8TCG1",125028.333333333,147286.333333333,"Q8TCG1","nonmito",""
"CIRBP","Q14011",639892.666666667,467029,"Q14011","nonmito",""
"CISD1","Q9NZ45",255351.666666667,110601,"Q9NZ45","mito",""
"CISD2","Q8N5K1",391933,339665,"Q8N5K1","nonmito",""
"CIT","O14578;O14578-4",83185.4,82122.2666666667,"O14578","nonmito",""
"CIZ1","Q9ULV3;Q9ULV3-2;Q9ULV3-5",62342.8666666667,86819.3,"Q9ULV3","nonmito",""
"CKAP2","Q8WWK9-5",151070.333333333,148954,"Q8WWK9","nonmito",""
"CKAP2L","Q8IYA6",72346.9666666667,83808.1,"Q8IYA6","nonmito",""
"CKAP4","Q07065",270881.666666667,250611.333333333,"Q07065","nonmito",""
"CKAP5","Q14008",177479.666666667,197337.333333333,"Q14008","nonmito",""
"CKB","P12277",1773566.66666667,1778636.66666667,"P12277","nonmito",""
"CKM","P06732",258060.333333333,246742,"P06732","nonmito",""
"CKMT1A","P12532",588265.333333333,593854.666666667,"0","mito",""
"CKS1B","P61024",189343.666666667,166833.333333333,"P61024","nonmito",""
"CLASP1","Q7Z460",140506.333333333,148910.666666667,"Q7Z460","nonmito",""
"CLASP2","O75122-3",98347.9666666667,99721.3,"O75122","nonmito",""
"CLASP2","O75122",121424.333333333,134665.666666667,"O75122","nonmito",""
"CLCC1","Q96S66",84076.4666666667,92895.4666666667,"Q96S66","nonmito",""
"CLCN3","P51790;P51790-4",95439.2666666667,96824.0333333333,"P51790","nonmito",""
"CLCN5","P51795-2",61126.6333333333,64362.5333333333,"P51795","nonmito",""
"CLCN7","P51798",67045.5,82309.2666666667,"P51798","nonmito",""
"CLDND1","Q9NY35;Q9NY35-2",93198.35,78105.1,"Q9NY35","nonmito",""
"CLGN","O14967",82932.2,66858.6333333333,"O14967","nonmito",""
"CLIC1","O00299",635447.666666667,493694.666666667,"O00299","nonmito",""
