"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"GTF2H2","Q13888",155740.333333333,157282.666666667,"0","nonmito",""
"GTF2H3","Q13889;Q13889-2",167603.666666667,151207,"Q13889","nonmito",""
"GTF2H4","Q92759",158914.666666667,146370.666666667,"Q92759","nonmito",""
"GTF2I","P78347;P78347-2;P78347-3;P78347-4",392076.666666667,430925,"P78347","nonmito",""
"GTF3C1","Q12789",139819.333333333,137669.333333333,"Q12789","nonmito",""
"GTF3C2","Q8WUA4",133650,131613,"Q8WUA4","nonmito",""
"GTF3C3","Q9Y5Q9",184699,186183.666666667,"Q9Y5Q9","nonmito",""
"GTF3C4","Q9UKN8",121405,119938,"Q9UKN8","nonmito",""
"GTF3C5","Q9Y5Q8;Q9Y5Q8-2",248319.333333333,242560,"Q9Y5Q8","nonmito",""
"GTPBP1","O00178",257225.333333333,252208.333333333,"O00178","nonmito",""
"GTPBP10","A4D1E9",130963.666666667,121216.666666667,"A4D1E9","mito",""
"GTPBP2","Q9BX10;Q9BX10-4",79987.8,79431.85,"Q9BX10","nonmito",""
"GTPBP3","Q969Y2;Q969Y2-2;Q969Y2-3;Q969Y2-4",166662.333333333,159655.666666667,"Q969Y2","mito",""
"GTPBP4","Q9BZE4",400130,395391.666666667,"Q9BZE4","nonmito",""
"GTPBP6","O43824",141791,155775.666666667,"O43824","mito",""
"GTPBP8","Q8N3Z3",212860,146270.666666667,"Q8N3Z3","nonmito",""
"GTSE1","Q9NYZ3",100202.8,85159.7,"Q9NYZ3","nonmito",""
"GUF1","Q8N442",123513,111278.633333333,"Q8N442","mito",""
"GUK1","Q16774-2",170834.333333333,162684.666666667,"Q16774","mito",""
"GUSB","P08236;P08236-2;P08236-3",120453.666666667,119261.666666667,"P08236","nonmito",""
"GXYLT1","Q4G148;Q4G148-2",78625.1333333333,64069.3333333333,"Q4G148","nonmito",""
"GYG1","P46976;P46976-2",374462.333333333,360488,"P46976","nonmito",""
"GYG2","O15488;O15488-2;O15488-3;O15488-4;O15488-5;O15488-6",217208.333333333,182176.666666667,"O15488","nonmito",""
"GYS1","P13807",259043.333333333,226305.333333333,"P13807","nonmito",""
"H1-0","P07305",284839,300582,"P07305","nonmito",""
"H1-10","Q92522",767589.333333333,760942.666666667,"Q92522","nonmito",""
"H1-2","P16403",2132996.66666667,1795453.33333333,"P16403","nonmito",""
"H2AC21","Q8IUE6",3743920,2938236.66666667,"Q8IUE6","nonmito",""
"H2BC5","P58876",5726283.33333333,5383073.33333333,"P58876","nonmito",""
"H2BU1","Q8N257",6286570,6586386.66666667,"Q8N257","nonmito",""
"H3C15","Q71DI3",3352346.66666667,2707303.33333333,"0","nonmito",""
"H4C1","P62805",3969493.33333333,3488126.66666667,"0","nonmito",""
"HACD2","Q6Y1H2",202435.666666667,187601,"Q6Y1H2","nonmito",""
"HACD3","Q9P035",609310.666666667,608612.333333333,"Q9P035","nonmito",""
"HACL1","Q9UJ83;Q9UJ83-2",200390.333333333,195373.666666667,"Q9UJ83","nonmito",""
"HADH","Q16836;Q16836-2;Q16836-3",317726.666666667,335652.333333333,"Q16836","mito",""
"HADHA","P40939",493096.333333333,468748,"P40939","mito",""
"HADHB","P55084;P55084-2",393579,382087.666666667,"P55084","mito",""
"HAGH","Q16775;Q16775-2",186173.666666667,169764.333333333,"Q16775","mito",""
"HARS1","P12081;P12081-4",455731.666666667,440134.666666667,"P12081","nonmito",""
"HARS2","P49590",58236.5333333333,54604.4,"P49590","mito",""
"HASPIN","Q8TF76",99709.35,71504.75,"Q8TF76","nonmito",""
"HAT1","O14929",452748,501321,"O14929","nonmito",""
"HAUS1","Q96CS2",225427,183200.333333333,"Q96CS2","nonmito",""
"HAUS2","Q9NVX0;Q9NVX0-3",70170.7666666667,66007.2333333333,"Q9NVX0","nonmito",""
"HAUS3","Q68CZ6",93920,96349.6666666667,"Q68CZ6","nonmito",""
"HAUS4","Q9H6D7",175118,165267.333333333,"Q9H6D7","nonmito",""
"HAUS5","O94927",139466.333333333,130804.333333333,"O94927","nonmito",""
"HAUS6","Q7Z4H7",147712,144762.666666667,"Q7Z4H7","nonmito",""
"HAUS7","Q99871;Q99871-2",119474,125766,"Q99871","nonmito",""
"HAUS8","Q9BT25;Q9BT25-2;Q9BT25-3",174424.666666667,174862,"Q9BT25","nonmito",""
"HAX1","O00165",221699.333333333,218088,"O00165","nonmito",""
"HBA1","P69905",359798.666666667,254963,"0","nonmito",""
"HBB","P68871",68256,88537.8333333333,"P68871","nonmito",""
"HBS1L","Q9Y450",151981,152613,"Q9Y450","nonmito",""
"HCCS","P53701",247396,269630.666666667,"P53701","mito",""
"HCFC1","P51610-4",136027.666666667,154644.666666667,"P51610","nonmito",""
"HCFC1","P51610",287908,321034,"P51610","nonmito",""
"HDAC1","Q13547",444550.666666667,488975.333333333,"Q13547","nonmito",""
"HDAC2","Q92769;Q92769-3",329945.333333333,385509.666666667,"Q92769","nonmito",""
"HDAC3","O15379;O15379-2",112072,117576.666666667,"O15379","nonmito",""
"HDAC6","Q9UBN7",153988.333333333,138485.666666667,"Q9UBN7","nonmito",""
"HDAC8","Q9BY41",113084.9,89922.6333333333,"Q9BY41","nonmito",""
"HDDC2","Q7Z4H3",477534.666666667,476423.666666667,"Q7Z4H3","nonmito",""
"HDDC3","Q8N4P3",129583.666666667,111168,"Q8N4P3","nonmito",""
"HDGF","P51858",218453.666666667,229825.333333333,"P51858","nonmito",""
"HDGFL2","Q7Z4V5",227554.333333333,225804,"Q7Z4V5","nonmito",""
"HDGFL3","Q9Y3E1",131148.333333333,128895.333333333,"Q9Y3E1","nonmito",""
"HDHD2","Q9H0R4",173147.666666667,155393.666666667,"Q9H0R4","nonmito",""
