"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"LMBR1","Q8WVP7;Q8WVP7-3",129834.666666667,132301.666666667,"Q8WVP7","nonmito",""
"LMCD1","Q9NZU5;Q9NZU5-2",36285.15,24598.2,"Q9NZU5","nonmito",""
"LMF2","Q9BU23;Q9BU23-2",121173.6,101496.366666667,"Q9BU23","nonmito",""
"LMNA","P02545",387032,301915.333333333,"P02545","nonmito",""
"LMNB1","P20700",700633.666666667,662559,"P20700","nonmito",""
"LMNB2","Q03252",417929.666666667,433448.666666667,"Q03252","nonmito",""
"LMO7","Q8WWI1-3",64703.8,251138.1,"Q8WWI1","nonmito",""
"LNPEP","Q9UIQ6",111446,94707.8333333333,"Q9UIQ6","nonmito",""
"LNPK","Q9C0E8;Q9C0E8-2",221613.333333333,225124.333333333,"Q9C0E8","nonmito",""
"LONP1","P36776",272688,204862.666666667,"P36776","mito",""
"LONP2","Q86WA8",90905.3,89369.8666666667,"Q86WA8","nonmito",""
"LPCAT1","Q8NF37",208714,176099.666666667,"Q8NF37","nonmito",""
"LPCAT2","Q7L5N7",165411.666666667,162531.333333333,"Q7L5N7","nonmito",""
"LPCAT3","Q6P1A2",176164.666666667,139327,"Q6P1A2","nonmito",""
"LPCAT4","Q643R3",152644.333333333,74492.7666666667,"Q643R3","nonmito",""
"LPGAT1","Q92604",66408.4666666667,68783.6666666667,"Q92604","nonmito",""
"LPP","Q93052",138805,109382.333333333,"Q93052","nonmito",""
"LRATD2","Q96KN1",108025.333333333,122853,"Q96KN1","nonmito",""
"LRBA","P50851",121667.333333333,125638,"P50851","nonmito",""
"LRCH1","Q9Y2L9;Q9Y2L9-2;Q9Y2L9-3",101119.9,96509.3,"Q9Y2L9","nonmito",""
"LRCH2","Q5VUJ6;Q5VUJ6-2",201334.666666667,167121.666666667,"Q5VUJ6","nonmito",""
"LRCH3","Q96II8",91255.5333333333,72124.5,"Q96II8","nonmito",""
"LRCH4","O75427",84164.9666666667,78409.9666666667,"O75427","nonmito",""
"LRIF1","Q5T3J3",46549,42116.5666666667,"Q5T3J3","nonmito",""
"LRIG2","O94898",151952.666666667,139840.333333333,"O94898","nonmito",""
"LRP1","Q07954",84897.1,68748.0666666667,"Q07954","nonmito",""
"LRPAP1","P30533",192457.666666667,199619.333333333,"P30533","nonmito",""
"LRPPRC","P42704",326077.333333333,304183,"P42704","mito",""
"LRR1","Q96L50",15343.1,41512.2666666667,"Q96L50","nonmito",""
"LRRC1","Q9BTT6",77616.7666666667,67462.5,"Q9BTT6","nonmito",""
"LRRC40","Q9H9A6",517516,465973.666666667,"Q9H9A6","nonmito",""
"LRRC41","Q15345",85455.8,98082.4333333333,"Q15345","nonmito",""
"LRRC47","Q8N1G4",470805.666666667,447976.666666667,"Q8N1G4","nonmito",""
"LRRC57","Q8N9N7",195283,156913.666666667,"Q8N9N7","nonmito",""
"LRRC59","Q96AG4",598526,599946.666666667,"Q96AG4","nonmito",""
"LRRC8A","Q8IWT6",89503.9,82512.5333333333,"Q8IWT6","nonmito",""
"LRRFIP1","Q32MZ4-3",118185,116811.666666667,"Q32MZ4","nonmito",""
"LRRFIP2","Q9Y608;Q9Y608-4",142601.333333333,138062,"Q9Y608","nonmito",""
"LRSAM1","Q6UWE0",76963.6666666667,68034.8666666667,"Q6UWE0","nonmito",""
"LRWD1","Q9UFC0",147639.333333333,134398.666666667,"Q9UFC0","nonmito",""
"LSG1","Q9H089",118722.266666667,129873,"Q9H089","nonmito",""
"LSM1","O15116",278248,265166,"O15116","nonmito",""
