"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"ACLY","P53396",572181,696581,"P53396","mito",""
"ACO1","P21399",255942.666666667,197682.333333333,"P21399","nonmito",""
"ACO2","Q99798",308286.666666667,239474,"Q99798","mito",""
"ACOT1","Q86TX2",263692.666666667,263742,"Q86TX2","nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",269017.333333333,313576,"Q9NPJ3","mito",""
"ACOT7","O00154-4",908814,593273.666666667,"O00154","mito",""
"ACOT8","O14734",260783,124898.666666667,"O14734","nonmito",""
"ACOT9","Q9Y305",417661.666666667,186486.333333333,"Q9Y305","mito",""
"ACOX1","Q15067;Q15067-2",156308.333333333,139009,"Q15067","nonmito",""
"ACOX3","O15254;O15254-2",39749.7,36706.5666666667,"O15254","nonmito",""
"ACP1","P24666",1059203.33333333,912346.666666667,"P24666","nonmito",""
"ACP2","P11117",271985.333333333,195184,"P11117","nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",75724,37300.2333333333,"Q96CM8","mito",""
"ACSF3","Q4G176",72539.5333333333,79003.5,"Q4G176","mito",""
"ACSL1","P33121;P33121-2",133058.333333333,124040,"P33121","mito",""
"ACSL3","O95573",277750.666666667,337411,"O95573","nonmito",""
"ACSL4","O60488;O60488-2",202242.666666667,160078.333333333,"O60488","nonmito",""
"ACSL6","Q9UKU0;Q9UKU0-1;Q9UKU0-2;Q9UKU0-3;Q9UKU0-5;Q9UKU0-6;Q9UKU0-8;Q9UKU0-9",133267.666666667,108322.333333333,"Q9UKU0","mito",""
"ACSS1","Q9NUB1;Q9NUB1-2",297190.666666667,56843.8666666667,"Q9NUB1","mito",""
"ACSS2","Q9NR19;Q9NR19-2",222057.333333333,109915,"Q9NR19","nonmito",""
"ACTB","P60709",1910646.66666667,2020436.66666667,"P60709","nonmito",""
"ACTBL2","Q562R1",1933770,2119653.33333333,"Q562R1","nonmito",""
"ACTC1","P68032",2443246.66666667,2425666.66666667,"P68032","nonmito",""
"ACTL6A","O96019",389879.666666667,359455,"O96019","nonmito",""
"ACTN1","P12814",599633.666666667,500141.333333333,"P12814","nonmito",""
"ACTN4","O43707",540546,454446.666666667,"O43707","nonmito",""
"ACTR10","Q9NZ32",165093.666666667,143440.666666667,"Q9NZ32","nonmito",""
"ACTR1A","P61163",706438.666666667,647282.666666667,"P61163","nonmito",""
"ACTR1B","P42025",400079,250754.666666667,"P42025","nonmito",""
"ACTR2","P61160",853578.666666667,713222,"P61160","nonmito",""
